Image 1: x=108, y=607, width=201, height=126
Image 2: x=468, y=294, width=327, height=339
Image 3: x=90, y=64, width=292, height=345
Image 4: x=458, y=646, width=94, height=278
Image 5: x=13, y=837, width=148, height=148
Image 6: x=420, y=209, width=223, height=71
Image 7: x=747, y=779, width=141, height=69
Image 8: x=178, y=456, width=216, height=138
Image 9: x=764, y=16, width=220, height=151
Image 10: x=658, y=864, width=250, height=125
Image 11: x=875, y=579, width=75, height=43
Image 12: x=105, y=738, width=272, height=65
Image 13: x=609, y=6, width=119, height=159
Image 14: x=197, y=1, width=34, height=56
Image 15: x=826, y=395, width=137, height=112
Image 16: x=198, y=870, width=44, height=118
Image 17: x=742, y=178, width=191, height=84
Image 18: x=24, y=99, width=66, height=116
Image 19: x=912, y=908, width=46, height=50
Image 20: x=259, y=851, width=160, height=148
Image 21: x=572, y=639, width=264, height=120
Image 22: x=423, y=39, width=92, height=109
Image 23: x=14, y=608, width=53, height=95
Image 24: x=557, y=876, width=67, height=82
Image 25: x=857, y=682, width=50, height=48
