Image 1: x=96, y=561, width=142, height=262
Image 2: x=618, y=465, width=74, height=144
Image 3: x=782, y=270, width=187, height=195
Image 4: x=2, y=37, width=433, height=434
Image 5: x=706, y=537, width=239, height=211
Image 6: x=293, y=707, width=215, height=94
Image 7: x=788, y=117, width=133, height=124
Image 8: x=453, y=111, width=248, height=300
Image 9: x=245, y=471, width=338, height=211
Image 10: x=578, y=758, width=79, height=184
Image 11: x=686, y=856, width=195, height=45
Image 12: x=214, y=855, width=149, height=141
Image 13: x=890, y=758, width=47, height=103
Image 14: x=137, y=830, width=73, height=69
Image 15: x=926, y=4, width=42, height=169
Image 16: x=389, y=818, width=104, height=153
Image 17: x=898, y=886, width=62, height=64
Image 18: x=747, y=758, width=106, height=74
